날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-28,지마켓,23,G마켓,삼성전자 삼성 노트북 Pen S NT930SBE-K38A 정품,삼성전자,,integrated,,,,,,1748820,1748820,,https://link.gmarket.co.kr/gate/pcs?item-no=3120583747&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,24,G마켓,기가바이트 기가바이트 Gaming A16 3VH 라이젠 AMD R7 RTX5060 지포스 게이밍 노트북 QHD,Gigabyte,,RTX5060,,,,,,1899000,1899000,,https://link.gmarket.co.kr/gate/pcs?item-no=4468443102&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,25,G마켓,LG그램 14Z90P i5 11세대 16G 256G W11 사무용 가벼운 중고 노트북,LG전자,I5,integrated,,,,,,698400,698400,,https://link.gmarket.co.kr/gate/pcs?item-no=4728288981&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,26,G마켓,삼성전자 삼성전자 NT551XDA 11세대 i5 16GB NVME 512GB Win10,삼성전자,I5,integrated,16GB,512GB,WIN 11 HOME,,,571330,571330,,https://link.gmarket.co.kr/gate/pcs?item-no=3642347564&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,27,G마켓,삼성전자 삼성 NT551XDA 11세대 i5 16G 256G 윈11 중고 노트북,삼성전자,I5,integrated,,,,,,513810,513810,,https://link.gmarket.co.kr/gate/pcs?item-no=4418273768&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,28,G마켓,기가바이트 GIGABYTE AERO X16 1VH 93KRC94A(스페이스 그레이),Gigabyte,,integrated,,,,,,2149000,2149000,,https://link.gmarket.co.kr/gate/pcs?item-no=4427754714&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,29,G마켓,2025 화웨이 메이트북 폴드 얼티밋 디자인 HarmonyOS 5 18인치 무집열판 터치스크린 노트북 OLED 1440Hz 폴,,,integrated,,,,18인치,,7408560,7408560,,https://link.gmarket.co.kr/gate/pcs?item-no=4712830646&sub-id=1003&service-code=10000003&lcd=100000055
2026-06-28,지마켓,30,G마켓,삼성전자 삼성 갤럭시북4 NT750XGJ-KP51S i5-1335U 16GB 256GB WIN11 / 초경량 가벼운 인강용 15인치 노트북,삼성전자,I5-1335U,integrated,16GB,256GB,WIN 11 HOME,15인치,,1216710,1216710,,https://link.gmarket.co.kr/gate/pcs?item-no=4572427080&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,31,G마켓,MI 레노버 씽크북 16AHP G9 R7 AI WIN11,Lenovo,,integrated,,,WIN 11 HOME,,,1371020,1371020,,https://link.gmarket.co.kr/gate/pcs?item-no=4759672762&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,32,G마켓,삼성전자 갤럭시북6 프로 NT960XJG-K72A 체감가 257만 X7 358H/32GB/256GB/윈11 노트북,삼성전자,,integrated,32GB,256GB,,,,3655000,3655000,,https://link.gmarket.co.kr/gate/pcs?item-no=4638159692&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,33,G마켓,LG전자 LG 그램15 15Z95N 11세대 i5 8G NVME256G 윈10,LG전자,I5,integrated,,,,,,636620,636620,,https://link.gmarket.co.kr/gate/pcs?item-no=3725505989&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,34,G마켓,애플 맥북프로 14 M1 Pro 8CPU 14GPU 16GB 스페이스 그레이 S,Apple,,integrated,16GB,,,,,1261000,1261000,,https://link.gmarket.co.kr/gate/pcs?item-no=4766918484&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,35,G마켓,삼성 NT200B5B i5-2420M 4G SSD250 윈도우 XP,삼성전자,I5-2420M,integrated,,,,,,235000,235000,,https://link.gmarket.co.kr/gate/pcs?item-no=4732190199&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,36,G마켓,삼성전자 NT760VJT-A71A 삼성 갤럭시북6 울트라7 16GB 2TB 노트북,삼성전자,,integrated,16GB,2TB,,,,2502270,2502270,,https://link.gmarket.co.kr/gate/pcs?item-no=4763464376&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,37,G마켓,LG전자 LG전자 LG그램프로 17 17Z90U-GU7CK SSD 1TB 교체 모델,LG전자,,integrated,,1TB,,,,4850000,4850000,,https://link.gmarket.co.kr/gate/pcs?item-no=4760648599&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,38,G마켓,LG전자 LG전자 LG그램프로 17 17Z90U-GU7BK SSD 512GB 기본구성 모델,LG전자,,integrated,512GB,,,,,4900000,4900000,,https://link.gmarket.co.kr/gate/pcs?item-no=4760649921&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,39,G마켓,레노버 씽크패드 P53 i7-9750H 쿼드로 T2000 RAM 16G / SSD 240G,Lenovo,I7-9750H,integrated,,,,,,578200,578200,,https://link.gmarket.co.kr/gate/pcs?item-no=4790864461&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,40,G마켓,삼성전자 삼성 노트북 5 NT551EAA 8세대 인텔i5 램8G SSD256 윈10,삼성전자,,integrated,,,,,,280330,280330,,https://link.gmarket.co.kr/gate/pcs?item-no=2621483313&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,41,G마켓,레노버 14인치 씽크패드 X1 Yoga Gen7 I5-1240P 미사용 리퍼 노트북,Lenovo,I5-1240P,integrated,,,,14인치,,1499000,1499000,,https://link.gmarket.co.kr/gate/pcs?item-no=4730512228&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,42,G마켓,LG전자 LG전자 노트북 15U780 i5 8세대 16GB 512GB 윈11 15U780,LG전자,I5,integrated,16GB,512GB,,,,482160,482160,,https://link.gmarket.co.kr/gate/pcs?item-no=3962314173&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,43,G마켓,삼성전자 삼성 갤럭시북4 NT750XGJ-KP51S i5-1335U 16GB 512GB WIN11 / 초경량 가벼운 인강용 15인치 노트북,삼성전자,I5-1335U,integrated,16GB,512GB,WIN 11 HOME,15인치,,1424370,1424370,,https://link.gmarket.co.kr/gate/pcs?item-no=4572427273&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,44,G마켓,삼성전자 삼성전자 갤럭시북6 프로 NT940XJG-KD72G 그레이 무료배송,삼성전자,,integrated,,,,,,3953070,3953070,,https://link.gmarket.co.kr/gate/pcs?item-no=4754824276&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,45,G마켓,LG전자 LG그램 프로 17Z90U-GS59K 2026 신모델 인텔 팬서레이크 AI 노트북,LG전자,,integrated,,,,,,3207000,3207000,,https://link.gmarket.co.kr/gate/pcs?item-no=4663312174&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,46,G마켓,삼성전자 삼성전자 갤럭시북6 프로 NT960XJG-KL72G 32GB SSD 512GB,삼성전자,,integrated,32GB,512GB,,,,3508840,3508840,,https://link.gmarket.co.kr/gate/pcs?item-no=4732422560&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,47,G마켓,레노버 레노버 씽크패드 X1 카본 i5 8GB 사무용 인강용 중고 노트북,Lenovo,I5,integrated,8GB,,,,,310860,310860,,https://link.gmarket.co.kr/gate/pcs?item-no=4355119391&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,48,G마켓,삼성전자 삼성 NT550XDA-K14AW RAM16GB SSD1TB교체/정품,삼성전자,,integrated,16GB,1TB,,,,1163370,1163370,,https://link.gmarket.co.kr/gate/pcs?item-no=3120781617&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,49,G마켓,MI 레노버 LOQ 15ARP10E 83S000E3KR RAM 32GB,Lenovo,,integrated,32GB,,,,,1549580,1549580,,https://link.gmarket.co.kr/gate/pcs?item-no=4758387229&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,50,G마켓,삼성 노트북 NT551XDA 2.5인치 HDD SDD 브라켓 가이드,삼성전자,,integrated,,,,,,6900,6900,,https://link.gmarket.co.kr/gate/pcs?item-no=4448325126&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,51,G마켓,LG전자 LG 15UD40Q-GX50K WIN10PRO SSD512G변경/정품,LG전자,,integrated,,,Windows,,,1112560,1112560,,https://link.gmarket.co.kr/gate/pcs?item-no=3122208083&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,52,G마켓,MSI MSI GF76 HX B14WFK-i7 QHD/ 윈11 /마우스 /재고보유,MSI,I7,integrated,,,,,,1802260,1802260,,https://link.gmarket.co.kr/gate/pcs?item-no=4481539354&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,53,G마켓,삼성전자 NT551EBE 8세대 i5 램16G SSD256 윈10 중고 노트북,삼성전자,I5,integrated,,,,,,319790,319790,,https://link.gmarket.co.kr/gate/pcs?item-no=2761909917&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,54,G마켓,MSI MSI 사이보그 15 B2RWFKG-C7 윈11 램32G교체/재고보유,MSI,,integrated,,,,,,1885680,1885680,,https://link.gmarket.co.kr/gate/pcs?item-no=4720961381&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,55,G마켓,삼성전자 갤럭시북5 NT750XHD-KC51S +한컴오피스 J5,삼성전자,,integrated,,,,,,1734600,1734600,,https://link.gmarket.co.kr/gate/pcs?item-no=4534978669&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,56,G마켓,MSI MSI 사이보그 15 B2RWEKG-C5/윈11 SSD1T교체/재고보유,MSI,,integrated,,,,,,1393890,1393890,,https://link.gmarket.co.kr/gate/pcs?item-no=4715888810&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,57,G마켓,삼성전자 삼성 갤럭시북2 프로360 NT950QED-KC71S SSD1TB변경,삼성전자,,integrated,,1TB,,,,2129690,2129690,,https://link.gmarket.co.kr/gate/pcs?item-no=3120552989&sub-id=1003&service-code=10000003&lcd=100000002
